eps,min_samples,nmi,nmi_hiac
0.013355009311172719,1,0.22711302798854752,0.3760727080186777
0.013355009311172719,2,0.25158914362102913,0.38152077192087547
0.013355009311172719,3,0.2639793576731466,0.38495222276827645
0.013355009311172719,4,0.2377307249076803,0.335591546345857
0.013355009311172719,5,0.20653104198630595,0.31239964748996724
0.013355009311172719,6,0.16857462989310026,0.2748264719974993
0.013355009311172719,7,0.14691509872104314,0.25638583753501243
0.013355009311172719,8,0.09055991597094021,0.22693644840781171
0.013355009311172719,9,0.034091809345480825,0.20715210613236493
0.013355009311172719,10,0.010796647404479639,0.19535650274754804
0.026710018622345438,1,0.8958103758170556,0.7609293034802282
0.026710018622345438,2,0.9157628281968961,0.7631090350085488
0.026710018622345438,3,0.9232921396708705,0.7676199416086953
0.026710018622345438,4,0.91650359177563,0.7676199416086953
0.026710018622345438,5,0.9130816738570715,0.7664147354001399
0.026710018622345438,6,0.8788156680776309,0.7655817785511424
0.026710018622345438,7,0.8533943928038473,0.7644489685305375
0.026710018622345438,8,0.833300630379617,0.761808956498423
0.026710018622345438,9,0.7480780852365615,0.761808956498423
0.026710018622345438,10,0.6556024802026911,0.761808956498423
0.040065027933518155,1,0.9914066688338136,0.9721140635064954
0.040065027933518155,2,0.9914066688338136,0.9721140635064955
0.040065027933518155,3,0.9921775699152161,0.9728656997929512
0.040065027933518155,4,0.9921775699152161,0.9744960087370506
0.040065027933518155,5,0.9921775699152163,0.9744960087370504
0.040065027933518155,6,0.9900579869616659,0.9774659673986553
0.040065027933518155,7,0.9861279364925424,0.9774659673986553
0.040065027933518155,8,0.9861279364925424,0.9774659673986553
0.040065027933518155,9,0.9861279364925424,0.9774659673986553
0.040065027933518155,10,0.9820005212455163,0.953422728161115
0.053420037244690875,1,1.0,0.996933182586526
0.053420037244690875,2,1.0,0.9969331825865259
0.053420037244690875,3,1.0,0.9969331825865259
0.053420037244690875,4,1.0,0.9969331825865259
0.053420037244690875,5,1.0,0.9969331825865259
0.053420037244690875,6,1.0,0.994443891399554
0.053420037244690875,7,1.0,0.9921775699152161
0.053420037244690875,8,1.0,0.9921775699152163
0.053420037244690875,9,1.0,0.9921775699152163
0.053420037244690875,10,1.0,0.9921775699152163
0.0667750465558636,1,0.7525182211902416,1.0
0.0667750465558636,2,0.7525182211902416,1.0
0.0667750465558636,3,0.7525182211902416,1.0
0.0667750465558636,4,0.7525182211902416,1.0
0.0667750465558636,5,0.7525182211902416,1.0
0.0667750465558636,6,0.7525182211902416,1.0
0.0667750465558636,7,0.7525182211902416,1.0
0.0667750465558636,8,0.7525182211902416,1.0
0.0667750465558636,9,0.7525182211902416,1.0
0.0667750465558636,10,0.7525182211902416,1.0
0.08013005586703631,1,0.16870456760324726,1.0
0.08013005586703631,2,0.16870456760324726,1.0
0.08013005586703631,3,0.16870456760324726,1.0
0.08013005586703631,4,0.16870456760324726,1.0
0.08013005586703631,5,0.16870456760324726,1.0
0.08013005586703631,6,0.16870456760324726,1.0
0.08013005586703631,7,0.16870456760324726,1.0
0.08013005586703631,8,0.16870456760324726,1.0
0.08013005586703631,9,0.16870456760324726,1.0
0.08013005586703631,10,0.16870456760324726,1.0
0.09348506517820904,1,0.0,1.0
0.09348506517820904,2,0.0,1.0
0.09348506517820904,3,0.0,1.0
0.09348506517820904,4,0.0,1.0
0.09348506517820904,5,0.0,1.0
0.09348506517820904,6,0.0,1.0
0.09348506517820904,7,0.0,1.0
0.09348506517820904,8,0.0,1.0
0.09348506517820904,9,0.0,1.0
0.09348506517820904,10,0.0,1.0
0.10684007448938175,1,0.0,0.32599737480982155
0.10684007448938175,2,0.0,0.32599737480982155
0.10684007448938175,3,0.0,0.32599737480982155
0.10684007448938175,4,0.0,0.32599737480982155
0.10684007448938175,5,0.0,0.32599737480982155
0.10684007448938175,6,0.0,0.32599737480982155
0.10684007448938175,7,0.0,0.32599737480982155
0.10684007448938175,8,0.0,0.32599737480982155
0.10684007448938175,9,0.0,0.32599737480982155
0.10684007448938175,10,0.0,0.32599737480982155
0.12019508380055446,1,0.0,0.16870456760324726
0.12019508380055446,2,0.0,0.16870456760324726
0.12019508380055446,3,0.0,0.16870456760324726
0.12019508380055446,4,0.0,0.16870456760324726
0.12019508380055446,5,0.0,0.16870456760324726
0.12019508380055446,6,0.0,0.16870456760324726
0.12019508380055446,7,0.0,0.16870456760324726
0.12019508380055446,8,0.0,0.16870456760324726
0.12019508380055446,9,0.0,0.16870456760324726
0.12019508380055446,10,0.0,0.16870456760324726
0.1335500931117272,1,0.0,0.0
0.1335500931117272,2,0.0,0.0
0.1335500931117272,3,0.0,0.0
0.1335500931117272,4,0.0,0.0
0.1335500931117272,5,0.0,0.0
0.1335500931117272,6,0.0,0.0
0.1335500931117272,7,0.0,0.0
0.1335500931117272,8,0.0,0.0
0.1335500931117272,9,0.0,0.0
0.1335500931117272,10,0.0,0.0
