eps,min_samples,nmi,eps_hiac,min_samples_hiac,nmi_hiac
7.699100528609511,100,1.0,7.699100528609511,100,1.0
7.699100528609511,200,1.0,7.699100528609511,200,1.0
7.699100528609511,300,1.0,7.699100528609511,300,1.0
7.699100528609511,400,1.0,7.699100528609511,400,1.0
7.699100528609511,500,1.0,7.699100528609511,500,1.0
7.699100528609511,600,1.0,7.699100528609511,600,1.0
7.699100528609511,700,1.0,7.699100528609511,700,1.0
7.699100528609511,800,1.0,7.699100528609511,800,1.0
7.699100528609511,900,1.0,7.699100528609511,900,1.0
7.699100528609511,1000,1.0,7.699100528609511,1000,1.0
15.398201057219023,100,1.0,15.398201057219023,100,1.0
15.398201057219023,200,1.0,15.398201057219023,200,1.0
15.398201057219023,300,1.0,15.398201057219023,300,1.0
15.398201057219023,400,1.0,15.398201057219023,400,1.0
15.398201057219023,500,1.0,15.398201057219023,500,1.0
15.398201057219023,600,1.0,15.398201057219023,600,1.0
15.398201057219023,700,1.0,15.398201057219023,700,1.0
15.398201057219023,800,1.0,15.398201057219023,800,1.0
15.398201057219023,900,1.0,15.398201057219023,900,1.0
15.398201057219023,1000,1.0,15.398201057219023,1000,1.0
23.097301585828532,100,1.0,23.097301585828532,100,1.0
23.097301585828532,200,1.0,23.097301585828532,200,1.0
23.097301585828532,300,1.0,23.097301585828532,300,1.0
23.097301585828532,400,1.0,23.097301585828532,400,1.0
23.097301585828532,500,1.0,23.097301585828532,500,1.0
23.097301585828532,600,1.0,23.097301585828532,600,1.0
23.097301585828532,700,1.0,23.097301585828532,700,1.0
23.097301585828532,800,1.0,23.097301585828532,800,1.0
23.097301585828532,900,1.0,23.097301585828532,900,1.0
23.097301585828532,1000,1.0,23.097301585828532,1000,1.0
30.796402114438045,100,1.0,30.796402114438045,100,1.0
30.796402114438045,200,1.0,30.796402114438045,200,1.0
30.796402114438045,300,1.0,30.796402114438045,300,1.0
30.796402114438045,400,1.0,30.796402114438045,400,1.0
30.796402114438045,500,1.0,30.796402114438045,500,1.0
30.796402114438045,600,1.0,30.796402114438045,600,1.0
30.796402114438045,700,1.0,30.796402114438045,700,1.0
30.796402114438045,800,1.0,30.796402114438045,800,1.0
30.796402114438045,900,1.0,30.796402114438045,900,1.0
30.796402114438045,1000,1.0,30.796402114438045,1000,1.0
38.49550264304756,100,1.0,38.49550264304756,100,1.0
38.49550264304756,200,1.0,38.49550264304756,200,1.0
38.49550264304756,300,1.0,38.49550264304756,300,1.0
38.49550264304756,400,1.0,38.49550264304756,400,1.0
38.49550264304756,500,1.0,38.49550264304756,500,1.0
38.49550264304756,600,1.0,38.49550264304756,600,1.0
38.49550264304756,700,1.0,38.49550264304756,700,1.0
38.49550264304756,800,1.0,38.49550264304756,800,1.0
38.49550264304756,900,1.0,38.49550264304756,900,1.0
38.49550264304756,1000,1.0,38.49550264304756,1000,1.0
46.194603171657064,100,1.0,46.194603171657064,100,1.0
46.194603171657064,200,1.0,46.194603171657064,200,1.0
46.194603171657064,300,1.0,46.194603171657064,300,1.0
46.194603171657064,400,1.0,46.194603171657064,400,1.0
46.194603171657064,500,1.0,46.194603171657064,500,1.0
46.194603171657064,600,1.0,46.194603171657064,600,1.0
46.194603171657064,700,1.0,46.194603171657064,700,1.0
46.194603171657064,800,1.0,46.194603171657064,800,1.0
46.194603171657064,900,1.0,46.194603171657064,900,1.0
46.194603171657064,1000,1.0,46.194603171657064,1000,1.0
53.89370370026658,100,1.0,53.89370370026658,100,1.0
53.89370370026658,200,1.0,53.89370370026658,200,1.0
53.89370370026658,300,1.0,53.89370370026658,300,1.0
53.89370370026658,400,1.0,53.89370370026658,400,1.0
53.89370370026658,500,1.0,53.89370370026658,500,1.0
53.89370370026658,600,1.0,53.89370370026658,600,1.0
53.89370370026658,700,1.0,53.89370370026658,700,1.0
53.89370370026658,800,1.0,53.89370370026658,800,1.0
53.89370370026658,900,1.0,53.89370370026658,900,1.0
53.89370370026658,1000,1.0,53.89370370026658,1000,1.0
61.59280422887609,100,1.0,61.59280422887609,100,1.0
61.59280422887609,200,1.0,61.59280422887609,200,1.0
61.59280422887609,300,1.0,61.59280422887609,300,1.0
61.59280422887609,400,1.0,61.59280422887609,400,1.0
61.59280422887609,500,1.0,61.59280422887609,500,1.0
61.59280422887609,600,1.0,61.59280422887609,600,1.0
61.59280422887609,700,1.0,61.59280422887609,700,1.0
61.59280422887609,800,1.0,61.59280422887609,800,1.0
61.59280422887609,900,1.0,61.59280422887609,900,1.0
61.59280422887609,1000,1.0,61.59280422887609,1000,1.0
69.2919047574856,100,1.0,69.2919047574856,100,1.0
69.2919047574856,200,1.0,69.2919047574856,200,1.0
69.2919047574856,300,1.0,69.2919047574856,300,1.0
69.2919047574856,400,1.0,69.2919047574856,400,1.0
69.2919047574856,500,1.0,69.2919047574856,500,1.0
69.2919047574856,600,1.0,69.2919047574856,600,1.0
69.2919047574856,700,1.0,69.2919047574856,700,1.0
69.2919047574856,800,1.0,69.2919047574856,800,1.0
69.2919047574856,900,1.0,69.2919047574856,900,1.0
69.2919047574856,1000,1.0,69.2919047574856,1000,1.0
76.99100528609512,100,1.0,76.99100528609512,100,1.0
76.99100528609512,200,1.0,76.99100528609512,200,1.0
76.99100528609512,300,1.0,76.99100528609512,300,1.0
76.99100528609512,400,1.0,76.99100528609512,400,1.0
76.99100528609512,500,1.0,76.99100528609512,500,1.0
76.99100528609512,600,1.0,76.99100528609512,600,1.0
